,Age,Purchase Amount (USD),Review Rating,Previous Purchases,Category,Color,Season,Frequency of Purchases,Cluster
81,67,96,2.6,36,Footwear,Maroon,Summer,Every 3 Months,5
82,19,28,4.0,21,Clothing,Olive,Spring,Every 3 Months,1
83,36,40,4.1,34,Clothing,Turquoise,Summer,Weekly,2
84,52,32,4.4,42,Outerwear,Peach,Spring,Every 3 Months,3
85,53,95,4.5,2,Accessories,Charcoal,Winter,Bi-Weekly,0
86,24,41,3.7,47,Clothing,Pink,Spring,Bi-Weekly,2
87,52,53,3.7,44,Footwear,Green,Fall,Fortnightly,5
88,33,47,3.5,35,Clothing,Orange,Fall,Monthly,5
89,47,83,3.6,15,Outerwear,Pink,Fall,Quarterly,0
90,25,48,2.9,29,Accessories,Violet,Summer,Monthly,5
91,44,99,4.6,18,Accessories,Green,Winter,Every 3 Months,0
92,61,87,4.4,13,Outerwear,Olive,Winter,Every 3 Months,0
93,37,62,4.5,46,Clothing,Purple,Fall,Weekly,2
94,58,76,4.6,28,Clothing,Silver,Spring,Weekly,0
95,37,100,3.8,48,Footwear,Pink,Fall,Monthly,2
96,32,73,3.6,43,Accessories,Gold,Spring,Every 3 Months,5
97,21,92,4.8,37,Footwear,Teal,Winter,Annually,2
98,20,67,2.6,20,Clothing,Teal,Spring,Annually,1
99,26,40,3.7,33,Clothing,Indigo,Summer,Quarterly,2
100,62,98,2.7,31,Accessories,Maroon,Fall,Fortnightly,0
101,27,85,4.6,50,Outerwear,White,Spring,Bi-Weekly,2
102,51,67,4.8,35,Clothing,Violet,Winter,Quarterly,0
103,54,89,4.0,22,Footwear,Red,Winter,Bi-Weekly,0
104,55,24,4.4,1,Accessories,Pink,Spring,Monthly,3
105,69,96,3.6,4,Accessories,Charcoal,Fall,Annually,0
106,64,35,3.7,31,Outerwear,White,Summer,Monthly,3
107,28,67,3.1,46,Footwear,Olive,Winter,Fortnightly,5
108,70,79,3.4,32,Clothing,Purple,Spring,Bi-Weekly,0
109,58,85,2.6,43,Clothing,Violet,Spring,Fortnightly,5
110,56,26,4.0,26,Accessories,Black,Summer,Fortnightly,3
111,26,75,5.0,9,Accessories,Purple,Summer,Annually,1
112,37,65,4.3,28,Accessories,Red,Spring,Bi-Weekly,2
113,44,54,3.1,20,Accessories,Maroon,Winter,Quarterly,4
114,70,95,3.7,9,Outerwear,Blue,Summer,Weekly,0
115,53,94,3.8,48,Clothing,Gray,Spring,Every 3 Months,0
116,55,86,3.4,12,Footwear,Blue,Spring,Annually,4
117,50,32,4.6,29,Footwear,Yellow,Summer,Fortnightly,3
118,50,45,4.8,27,Clothing,Orange,Fall,Bi-Weekly,3
119,38,76,4.3,44,Outerwear,Orange,Fall,Annually,2
120,64,84,4.0,32,Accessories,Red,Summer,Annually,0
121,19,72,4.2,11,Clothing,Olive,Winter,Fortnightly,1
122,40,40,4.8,44,Accessories,Brown,Spring,Fortnightly,2
123,57,89,3.1,46,Clothing,Brown,Fall,Weekly,5
124,44,86,3.1,50,Clothing,Gray,Spring,Annually,5
125,49,54,3.6,45,Clothing,Indigo,Winter,Every 3 Months,5
126,43,36,3.9,48,Clothing,Pink,Spring,Every 3 Months,5
127,24,89,4.8,26,Clothing,Gray,Winter,Weekly,2
128,20,32,4.7,21,Accessories,Gold,Spring,Fortnightly,2
129,24,67,4.2,49,Clothing,Olive,Summer,Bi-Weekly,2
130,44,39,3.7,13,Accessories,Violet,Fall,Fortnightly,4
131,28,29,3.9,46,Clothing,Indigo,Summer,Weekly,2
132,30,58,4.7,42,Accessories,Orange,Fall,Weekly,2
133,52,65,2.5,25,Clothing,Violet,Winter,Annually,4
134,43,94,4.9,25,Accessories,Gray,Fall,Monthly,0
135,43,81,4.1,12,Footwear,Purple,Fall,Quarterly,0
136,39,86,3.3,4,Clothing,White,Winter,Quarterly,1
137,68,43,4.7,38,Footwear,Turquoise,Spring,Weekly,3
138,68,29,4.4,42,Clothing,Maroon,Winter,Weekly,3
139,49,95,3.8,30,Outerwear,White,Fall,Annually,0
140,63,28,3.9,50,Clothing,Yellow,Fall,Weekly,3
141,56,46,4.9,45,Accessories,Turquoise,Fall,Weekly,3
142,37,58,3.1,33,Outerwear,Violet,Fall,Fortnightly,5
143,30,48,2.7,25,Outerwear,Beige,Fall,Quarterly,5
144,19,43,3.2,25,Footwear,Silver,Fall,Monthly,1
145,24,95,4.5,44,Accessories,Teal,Fall,Quarterly,2
146,52,30,4.0,21,Clothing,Black,Fall,Fortnightly,3
147,63,64,3.5,31,Footwear,Purple,Summer,Fortnightly,0
148,37,90,2.6,47,Accessories,Gray,Fall,Annually,5
149,38,76,3.2,14,Clothing,White,Summer,Monthly,1
150,35,96,4.9,17,Footwear,Cyan,Fall,Every 3 Months,0
151,28,47,4.5,3,Accessories,Turquoise,Fall,Annually,1
152,30,85,4.3,42,Clothing,Brown,Summer,Annually,2
153,69,55,3.2,22,Clothing,Maroon,Winter,Annually,4
154,41,98,3.6,21,Clothing,Charcoal,Fall,Quarterly,0
155,63,77,4.3,21,Clothing,Olive,Spring,Quarterly,0
156,35,26,4.0,40,Clothing,Lavender,Fall,Annually,3
157,36,68,3.0,1,Accessories,Yellow,Fall,Fortnightly,1
158,25,73,4.1,50,Clothing,Teal,Fall,Monthly,2
159,58,27,3.8,39,Accessories,Charcoal,Fall,Every 3 Months,3
160,27,23,4.6,34,Accessories,Orange,Summer,Monthly,2
161,65,49,3.0,29,Accessories,Olive,Fall,Fortnightly,4
162,54,74,3.0,31,Accessories,Turquoise,Summer,Bi-Weekly,5
163,54,67,3.4,8,Clothing,Purple,Summer,Weekly,4
164,59,65,2.6,5,Accessories,Purple,Spring,Fortnightly,4
165,42,60,2.8,7,Accessories,Yellow,Winter,Monthly,4
166,46,31,4.0,30,Footwear,Indigo,Fall,Monthly,3
167,33,27,4.0,14,Accessories,Green,Fall,Every 3 Months,1
168,34,80,3.0,5,Footwear,Magenta,Summer,Fortnightly,1
169,27,30,3.3,3,Outerwear,Gold,Summer,Every 3 Months,1
170,52,25,2.6,46,Clothing,Maroon,Fall,Bi-Weekly,5
171,29,35,3.6,4,Clothing,Blue,Summer,Weekly,1
172,54,67,3.9,42,Accessories,Violet,Summer,Bi-Weekly,0
173,25,46,3.4,30,Accessories,Turquoise,Fall,Annually,5
174,41,35,3.5,37,Footwear,Brown,Winter,Annually,5
175,53,86,2.8,2,Outerwear,Violet,Fall,Annually,4
176,53,81,2.7,30,Accessories,Black,Spring,Quarterly,5
177,21,42,3.7,47,Clothing,Magenta,Fall,Monthly,2
178,61,43,4.3,21,Clothing,Lavender,Fall,Quarterly,3
179,64,31,4.9,9,Footwear,Violet,Fall,Fortnightly,3
180,51,81,3.3,12,Footwear,Green,Fall,Fortnightly,4
181,32,61,4.7,4,Clothing,Beige,Summer,Weekly,1
182,38,96,2.8,10,Accessories,Purple,Summer,Annually,1
183,58,29,3.6,26,Clothing,Beige,Spring,Weekly,3
184,32,33,3.0,40,Footwear,Cyan,Spring,Fortnightly,5
185,46,32,4.5,34,Clothing,Silver,Summer,Fortnightly,3
186,39,56,2.9,31,Accessories,Lavender,Summer,Annually,5
187,19,94,3.3,1,Footwear,Purple,Spring,Bi-Weekly,1
188,50,53,3.1,5,Clothing,Pink,Spring,Bi-Weekly,4
189,36,82,4.4,4,Clothing,Maroon,Fall,Weekly,1
190,65,70,3.0,48,Outerwear,Beige,Fall,Quarterly,5
191,64,76,3.9,29,Accessories,Gray,Fall,Every 3 Months,0
192,46,29,2.9,12,Footwear,Turquoise,Summer,Bi-Weekly,4
193,36,100,3.0,29,Accessories,Silver,Fall,Annually,5
194,51,94,3.1,15,Accessories,Olive,Spring,Quarterly,4
195,51,25,4.3,34,Outerwear,Magenta,Fall,Monthly,3
196,38,88,3.9,41,Footwear,Lavender,Summer,Fortnightly,2
197,59,78,3.2,41,Accessories,Black,Fall,Monthly,5
198,57,45,4.8,39,Accessories,Turquoise,Winter,Fortnightly,3
199,54,73,3.8,32,Accessories,Green,Summer,Weekly,0
200,25,61,3.3,29,Clothing,Teal,Summer,Monthly,5
201,69,22,4.3,15,Clothing,Beige,Fall,Annually,3
202,57,38,2.7,33,Accessories,Magenta,Spring,Annually,5
203,70,38,3.2,18,Accessories,Yellow,Fall,Weekly,4
204,24,100,4.0,35,Footwear,Yellow,Fall,Bi-Weekly,2
205,67,64,3.0,25,Clothing,Silver,Winter,Weekly,4
206,24,55,4.2,6,Clothing,Silver,Summer,Fortnightly,1
207,62,91,2.9,17,Accessories,Silver,Summer,Bi-Weekly,4
208,57,38,4.1,17,Clothing,Gold,Spring,Monthly,3
209,55,97,3.2,44,Footwear,Olive,Winter,Every 3 Months,5
210,45,22,3.0,6,Outerwear,Teal,Fall,Fortnightly,4
211,69,92,4.2,45,Clothing,Maroon,Fall,Fortnightly,0
212,67,84,4.2,7,Accessories,Blue,Fall,Annually,0
213,30,93,4.4,11,Accessories,Peach,Fall,Every 3 Months,1
214,24,50,4.2,41,Outerwear,Blue,Summer,Every 3 Months,2
215,62,64,2.8,24,Accessories,Orange,Spring,Bi-Weekly,4
216,43,61,3.7,21,Clothing,Yellow,Spring,Weekly,1
217,35,48,3.5,24,Accessories,Purple,Winter,Annually,1
218,28,45,2.9,8,Clothing,Magenta,Spring,Quarterly,1
219,32,88,3.0,12,Accessories,Cyan,Spring,Fortnightly,1
220,39,57,3.7,48,Footwear,Indigo,Spring,Fortnightly,5
221,28,68,4.4,6,Accessories,Magenta,Summer,Quarterly,1
222,47,94,4.5,14,Accessories,Gray,Spring,Fortnightly,0
223,20,41,4.8,34,Clothing,Turquoise,Spring,Annually,2
224,63,83,2.9,12,Clothing,Beige,Summer,Every 3 Months,4
225,25,22,3.2,11,Outerwear,Olive,Spring,Annually,1
226,29,74,3.3,5,Footwear,Violet,Spring,Monthly,1
227,50,90,4.2,25,Clothing,Turquoise,Winter,Fortnightly,0
228,18,79,2.9,11,Clothing,White,Spring,Annually,1
229,70,28,4.6,27,Footwear,Silver,Spring,Every 3 Months,3
230,66,88,4.1,43,Accessories,Olive,Fall,Annually,0
231,28,26,3.1,18,Clothing,Blue,Spring,Every 3 Months,1
232,54,27,4.2,32,Accessories,Purple,Winter,Bi-Weekly,3
233,19,83,4.5,27,Clothing,Yellow,Fall,Every 3 Months,2
234,20,39,3.7,24,Accessories,Silver,Summer,Weekly,1
235,43,89,3.7,31,Accessories,Cyan,Winter,Quarterly,0
236,38,68,3.4,39,Outerwear,Green,Winter,Fortnightly,5
237,50,90,3.0,36,Clothing,Beige,Summer,Fortnightly,5
238,64,34,4.2,5,Clothing,Peach,Fall,Annually,3
239,49,51,2.9,47,Clothing,Yellow,Summer,Bi-Weekly,5
240,47,45,3.5,29,Clothing,Turquoise,Winter,Fortnightly,5
241,36,88,4.1,43,Clothing,Peach,Winter,Bi-Weekly,2
242,55,85,4.3,40,Outerwear,Gray,Summer,Every 3 Months,0
243,25,100,2.8,4,Accessories,Olive,Winter,Monthly,1
244,53,42,4.9,39,Accessories,Indigo,Spring,Weekly,3
245,49,53,3.3,45,Footwear,Charcoal,Summer,Fortnightly,5
246,35,86,3.2,20,Accessories,Beige,Spring,Bi-Weekly,1
247,29,66,4.4,14,Clothing,Brown,Spring,Weekly,1
248,47,100,4.8,33,Accessories,Blue,Winter,Weekly,0
249,53,47,4.2,18,Accessories,Teal,Fall,Annually,3
250,33,25,4.0,9,Clothing,Black,Fall,Weekly,1
251,21,51,2.5,34,Accessories,Gold,Winter,Annually,5
252,32,41,3.9,33,Clothing,Violet,Summer,Fortnightly,2
253,52,73,4.9,15,Footwear,Cyan,Winter,Bi-Weekly,0
254,67,42,3.5,4,Accessories,White,Winter,Bi-Weekly,4
255,43,20,4.2,25,Accessories,Charcoal,Spring,Annually,3
256,58,30,4.7,20,Accessories,Violet,Spring,Every 3 Months,3
257,20,53,4.5,5,Accessories,Red,Summer,Quarterly,1
258,61,74,2.8,16,Accessories,Lavender,Spring,Quarterly,4
259,32,57,2.9,13,Clothing,Gold,Fall,Annually,1
260,38,57,3.2,11,Accessories,Red,Winter,Every 3 Months,1
261,21,77,4.9,21,Clothing,Magenta,Winter,Annually,2
262,37,40,3.7,6,Clothing,Teal,Summer,Annually,1
263,27,46,4.3,29,Clothing,Purple,Summer,Monthly,2
264,36,78,3.9,15,Clothing,Charcoal,Fall,Annually,1
265,32,59,3.2,17,Accessories,Gray,Spring,Bi-Weekly,1
266,51,75,3.1,32,Accessories,White,Summer,Weekly,5
267,64,54,3.9,42,Clothing,Olive,Spring,Annually,3
268,68,42,2.6,21,Footwear,Charcoal,Spring,Monthly,4
269,68,44,3.3,9,Clothing,Charcoal,Winter,Bi-Weekly,4
270,33,52,4.6,16,Clothing,Orange,Fall,Annually,1
271,65,69,4.6,42,Accessories,Yellow,Summer,Fortnightly,0
272,48,26,4.4,37,Accessories,Beige,Summer,Bi-Weekly,3
273,69,33,4.2,32,Outerwear,Silver,Spring,Quarterly,3
274,59,32,3.0,28,Accessories,Indigo,Spring,Bi-Weekly,4
275,48,85,4.0,13,Accessories,Lavender,Winter,Weekly,0
276,25,30,3.5,11,Clothing,Turquoise,Fall,Fortnightly,1
277,29,29,3.0,36,Clothing,Green,Winter,Bi-Weekly,5
278,57,95,3.7,23,Clothing,Orange,Spring,Annually,0
279,23,69,4.0,37,Footwear,Turquoise,Summer,Monthly,2
280,45,69,4.2,21,Footwear,Cyan,Fall,Bi-Weekly,0
281,38,61,2.5,22,Accessories,Charcoal,Spring,Bi-Weekly,5
282,21,94,3.0,9,Clothing,Teal,Summer,Monthly,1
283,32,30,3.2,16,Clothing,Maroon,Fall,Annually,1
284,63,45,3.5,4,Clothing,Red,Summer,Quarterly,4
285,29,39,4.8,3,Accessories,Yellow,Summer,Bi-Weekly,1
286,27,51,2.6,6,Accessories,Gray,Summer,Annually,1
287,56,37,3.4,18,Accessories,Blue,Spring,Fortnightly,4
288,30,62,3.7,34,Clothing,Lavender,Winter,Bi-Weekly,2
289,49,85,4.5,26,Outerwear,Yellow,Fall,Monthly,0
290,58,33,3.7,50,Clothing,Indigo,Winter,Weekly,3
291,57,26,3.3,40,Clothing,Violet,Fall,Monthly,3
292,60,99,4.7,24,Footwear,Green,Spring,Quarterly,0
293,69,39,2.7,33,Accessories,White,Spring,Annually,4
294,70,20,4.6,19,Clothing,Gold,Spring,Every 3 Months,3
295,53,42,2.7,24,Accessories,Indigo,Winter,Quarterly,4
296,25,74,4.8,19,Footwear,Lavender,Spring,Weekly,2
297,48,26,4.4,4,Footwear,Purple,Summer,Bi-Weekly,3
298,69,53,4.0,11,Clothing,Lavender,Winter,Every 3 Months,4
299,25,80,3.2,28,Footwear,Maroon,Summer,Fortnightly,1
300,29,98,4.4,24,Accessories,Teal,Spring,Weekly,2
301,46,95,3.8,25,Clothing,Green,Spring,Every 3 Months,0
302,37,44,3.6,27,Clothing,Olive,Summer,Every 3 Months,5
303,20,60,3.3,49,Footwear,Turquoise,Summer,Weekly,5
304,40,84,3.4,45,Clothing,Green,Winter,Bi-Weekly,5
305,60,59,3.5,26,Clothing,Teal,Fall,Annually,4
306,26,49,3.6,4,Outerwear,White,Summer,Annually,1
307,29,32,3.2,3,Accessories,Orange,Winter,Every 3 Months,1
308,66,29,3.7,45,Accessories,Beige,Fall,Bi-Weekly,3
309,66,22,4.5,21,Clothing,Yellow,Spring,Fortnightly,3
310,56,85,4.6,50,Clothing,Charcoal,Winter,Fortnightly,0
311,69,52,4.1,19,Clothing,Silver,Winter,Monthly,3
312,38,89,3.4,6,Clothing,Green,Spring,Annually,1
313,42,77,3.7,50,Clothing,Pink,Spring,Every 3 Months,5
314,30,24,3.3,17,Clothing,Purple,Summer,Every 3 Months,1
315,66,24,4.5,24,Accessories,Orange,Spring,Annually,3
316,36,22,3.3,46,Accessories,Charcoal,Fall,Monthly,5
317,58,82,4.3,42,Clothing,Teal,Fall,Every 3 Months,0
318,45,67,2.5,10,Accessories,Beige,Winter,Annually,4
319,47,74,2.6,1,Clothing,White,Spring,Every 3 Months,4
320,66,72,4.9,28,Accessories,White,Summer,Quarterly,0
321,41,36,4.7,48,Footwear,Orange,Summer,Quarterly,2
322,41,95,3.0,47,Accessories,Cyan,Winter,Monthly,5
323,66,78,3.5,29,Clothing,Orange,Winter,Bi-Weekly,0
324,37,82,4.8,37,Clothing,Olive,Summer,Quarterly,2
325,70,70,4.3,38,Clothing,Charcoal,Winter,Annually,0
326,62,41,3.2,48,Accessories,White,Fall,Weekly,5
327,61,42,3.1,36,Outerwear,Teal,Summer,Weekly,5
328,48,50,2.8,9,Outerwear,Yellow,Fall,Weekly,4
329,70,31,2.9,34,Clothing,White,Summer,Monthly,4
330,46,51,3.7,43,Clothing,Beige,Winter,Bi-Weekly,5
331,31,98,3.3,46,Clothing,Beige,Fall,Quarterly,5
332,19,86,2.8,5,Clothing,Maroon,Winter,Monthly,1
333,39,64,4.5,15,Clothing,Teal,Winter,Bi-Weekly,1
334,41,46,2.6,30,Clothing,Lavender,Fall,Annually,5
335,20,85,3.7,44,Clothing,Maroon,Spring,Every 3 Months,2
336,36,81,4.4,16,Accessories,Orange,Fall,Annually,1
337,32,59,4.3,16,Clothing,Cyan,Winter,Annually,1
338,69,79,3.5,16,Clothing,Silver,Winter,Weekly,4
339,40,33,3.8,21,Clothing,Teal,Spring,Every 3 Months,3
340,40,47,3.5,39,Clothing,Blue,Summer,Every 3 Months,5
341,20,20,4.6,40,Accessories,Blue,Summer,Bi-Weekly,2
342,64,36,2.6,48,Outerwear,Olive,Spring,Every 3 Months,5
343,27,39,4.4,26,Footwear,Purple,Summer,Monthly,2
344,24,71,4.0,46,Clothing,Charcoal,Winter,Monthly,2
345,48,59,4.4,27,Footwear,Olive,Winter,Annually,3
346,49,50,4.7,5,Clothing,Violet,Spring,Weekly,3
347,36,41,3.9,43,Footwear,Red,Fall,Fortnightly,2
348,56,59,2.7,17,Clothing,Beige,Fall,Fortnightly,4
349,37,87,3.7,3,Accessories,Green,Winter,Bi-Weekly,1
350,42,68,2.6,47,Clothing,Violet,Spring,Fortnightly,5
351,28,90,3.9,24,Clothing,Teal,Winter,Bi-Weekly,1
352,27,71,4.9,12,Clothing,Yellow,Fall,Every 3 Months,1
353,63,64,4.1,35,Footwear,Yellow,Fall,Monthly,0
354,58,76,3.0,42,Accessories,Olive,Fall,Weekly,5
355,37,42,4.1,1,Accessories,Magenta,Fall,Every 3 Months,1
356,56,80,3.8,27,Clothing,Black,Spring,Weekly,0
357,18,56,4.0,16,Accessories,Olive,Spring,Bi-Weekly,1
358,48,25,3.6,36,Accessories,Magenta,Summer,Every 3 Months,3
359,31,74,3.0,30,Footwear,Olive,Winter,Every 3 Months,5
360,51,30,3.0,18,Clothing,Teal,Summer,Fortnightly,4
361,65,96,2.6,45,Clothing,White,Spring,Annually,5
362,53,64,3.4,1,Footwear,Charcoal,Fall,Fortnightly,4
363,55,88,3.1,42,Clothing,Yellow,Winter,Fortnightly,5
364,62,88,3.0,7,Footwear,Charcoal,Summer,Every 3 Months,4
365,55,88,3.7,50,Accessories,Gray,Summer,Quarterly,0
366,64,36,3.5,37,Clothing,Turquoise,Spring,Fortnightly,3
367,52,40,2.8,18,Clothing,Cyan,Spring,Monthly,4
368,24,39,4.5,29,Accessories,Charcoal,Spring,Monthly,2
369,38,40,3.3,45,Accessories,Silver,Summer,Quarterly,5
370,59,34,3.4,13,Accessories,Olive,Winter,Weekly,4
371,27,83,3.2,47,Footwear,Pink,Winter,Monthly,5
372,24,85,3.7,7,Clothing,Orange,Summer,Weekly,1
373,23,27,4.6,11,Outerwear,White,Summer,Bi-Weekly,1
374,69,78,5.0,39,Accessories,Purple,Spring,Monthly,0
375,59,32,4.4,6,Accessories,Olive,Summer,Quarterly,3
376,51,51,4.9,2,Footwear,Gray,Fall,Bi-Weekly,3
377,63,32,4.1,39,Accessories,Silver,Spring,Every 3 Months,3
378,54,62,4.9,23,Clothing,Orange,Winter,Monthly,0
379,32,29,4.7,46,Clothing,Magenta,Fall,Bi-Weekly,2
380,39,69,3.0,19,Accessories,Beige,Fall,Weekly,1
381,66,25,3.4,3,Accessories,Lavender,Winter,Every 3 Months,4
382,28,76,3.2,47,Clothing,Peach,Winter,Quarterly,5
383,50,77,2.9,6,Accessories,Magenta,Fall,Quarterly,4
384,70,33,4.5,6,Clothing,Beige,Fall,Annually,3
385,67,93,2.7,12,Clothing,Yellow,Fall,Bi-Weekly,4
386,64,39,3.4,40,Accessories,Brown,Spring,Quarterly,3
387,45,93,4.6,38,Outerwear,Silver,Summer,Fortnightly,0
388,22,82,2.7,10,Accessories,Orange,Summer,Quarterly,1
389,27,42,4.2,28,Footwear,Purple,Spring,Monthly,2
390,25,71,3.2,19,Accessories,Indigo,Winter,Annually,1
391,37,86,4.8,25,Clothing,Gray,Spring,Fortnightly,2
392,26,82,3.3,38,Clothing,Black,Spring,Annually,5
393,33,65,4.2,6,Footwear,Maroon,Fall,Fortnightly,1
394,43,29,4.8,7,Accessories,Beige,Spring,Bi-Weekly,3
395,37,65,4.9,2,Footwear,Brown,Winter,Annually,1
396,46,88,3.9,24,Clothing,Black,Fall,Annually,0
397,22,46,3.0,26,Accessories,Indigo,Fall,Annually,5
398,20,67,4.6,25,Footwear,Silver,Winter,Every 3 Months,2
399,60,35,3.5,10,Accessories,Blue,Fall,Monthly,4
400,39,66,4.8,14,Footwear,Green,Winter,Fortnightly,1
401,43,91,4.8,21,Clothing,Orange,Fall,Quarterly,0
402,31,78,3.0,26,Accessories,Cyan,Fall,Monthly,5
403,19,45,4.5,12,Footwear,Orange,Winter,Annually,1
404,35,93,4.8,11,Clothing,Indigo,Spring,Monthly,0
405,41,74,3.8,15,Clothing,Silver,Summer,Annually,1
406,52,55,4.6,13,Accessories,Peach,Spring,Monthly,3
407,45,76,3.1,5,Clothing,Teal,Spring,Bi-Weekly,4
408,34,66,3.4,36,Footwear,White,Spring,Fortnightly,5
409,35,51,3.3,32,Clothing,Brown,Winter,Monthly,5
410,29,26,4.8,1,Clothing,Lavender,Spring,Quarterly,1
411,59,29,2.8,15,Clothing,Indigo,Summer,Annually,4
412,24,74,3.1,3,Outerwear,Yellow,Summer,Weekly,1
413,70,99,4.6,48,Accessories,White,Summer,Monthly,0
